type,start_time,ambient_temperature,battery_id,test_id,uid,filename,Capacity,Re,Rct
charge,[2.0080e+03 4.0000e+00 2.0000e+00 1.3000e+01 8.0000e+00 1.7921e+01],24,B0005,0,1,00001.csv,,,
discharge,[2.0080e+03 4.0000e+00 2.0000e+00 1.5000e+01 2.5000e+01 4.1593e+01],24,B0005,1,2,00002.csv,1.8564874208181574,,
charge,[2.0080e+03 4.0000e+00 2.0000e+00 1.6000e+01 3.7000e+01 5.1984e+01],24,B0005,2,3,00003.csv,,,
discharge,[2.0080e+03 4.0000e+00 2.0000e+00 1.9000e+01 4.3000e+01 4.8406e+01],24,B0005,3,4,00004.csv,1.846327249719927,,
charge,[2.0080e+03 4.0000e+00 2.0000e+00 2.0000e+01 5.5000e+01 4.0812e+01],24,B0005,4,5,00005.csv,,,
discharge,[2.008e+03 4.000e+00 3.000e+00 0.000e+00 1.000e+00 6.687e+00],24,B0005,5,6,00006.csv,1.8353491942234077,,
charge,[2.0080e+03 4.0000e+00 3.0000e+00 1.0000e+00 1.2000e+01 3.8671e+01],24,B0005,6,7,00007.csv,,,
discharge,[2008.       4.       3.       4.      16.      37.375],24,B0005,7,8,00008.csv,1.8352625275821128,,
charge,[2008.       4.       3.       5.      27.      49.125],24,B0005,8,9,00009.csv,,,
discharge,[2008.       4.       3.       8.      33.      25.703],24,B0005,9,10,00010.csv,1.8346455082120419,,
charge,[2008.       4.       3.       9.      44.      35.078],24,B0005,10,11,00011.csv,,,
discharge,[2008.       4.       3.      12.      55.      10.687],24,B0005,11,12,00012.csv,1.8356616600675495,,
charge,[2008.       4.       3.      14.       6.      43.234],24,B0005,12,13,00013.csv,,,
discharge,[2008.       4.       3.      17.      17.      16.015],24,B0005,13,14,00014.csv,1.8351461429226603,,
charge,[2008.       4.       3.      18.      28.      47.125],24,B0005,14,15,00015.csv,,,
discharge,[2008.       4.       3.      21.      28.      14.718],24,B0005,15,16,00016.csv,1.8257567905665537,,
charge,[2008.       4.       3.      22.      38.      27.453],24,B0005,16,17,00017.csv,,,
discharge,[2.0080e+03 4.0000e+00 4.0000e+00 1.0000e+00 3.8000e+01 1.5218e+01],24,B0005,17,18,00018.csv,1.8247738529891333,,
charge,[2.008e+03 4.000e+00 4.000e+00 2.000e+00 4.800e+01 6.156e+00],24,B0005,18,19,00019.csv,,,
discharge,[2008.       4.       4.       5.      48.       8.609],24,B0005,19,20,00020.csv,1.824613268496936,,
charge,[2.008e+03 4.000e+00 4.000e+00 6.000e+00 5.800e+01 2.960e-01],24,B0005,20,21,00021.csv,,,
discharge,[2008.       4.       4.       9.      57.      19.765],24,B0005,21,22,00022.csv,1.8246195526864504,,
charge,[2008.       4.       4.      11.       6.      50.375],24,B0005,22,23,00023.csv,,,
charge,[2008.       4.       4.      15.       5.      59.906],24,B0005,23,24,00024.csv,,,
discharge,[2008.       4.       4.      17.      56.      27.609],24,B0005,24,25,00025.csv,1.8142019357673917,,
charge,[2008.       4.       4.      19.       5.      19.234],24,B0005,25,26,00026.csv,,,
discharge,[2.0080e+03 4.0000e+00 4.0000e+00 2.2000e+01 1.0000e+00 5.4671e+01],24,B0005,26,27,00027.csv,1.8137521577549054,,
charge,[2008.       4.       4.      23.      10.      25.421],24,B0005,27,28,00028.csv,,,
discharge,[2.0080e+03 4.0000e+00 5.0000e+00 2.0000e+00 2.0000e+01 2.6703e+01],24,B0005,28,29,00029.csv,1.8134404914735822,,
charge,[2008.       4.       5.       3.      28.      57.234],24,B0005,29,30,00030.csv,,,
